"(PDH-CSV 4.0) (Hora verano Sudamérica Pacífico)(180)","\\OMEN2025\Disco lógico(_Total)\% de tiempo de disco","\\OMEN2025\Disco lógico(_Total)\Escrituras en disco/s","\\OMEN2025\Disco lógico(_Total)\Lecturas de disco/s","\\OMEN2025\Disco lógico(_Total)\Promedio de segundos de disco/escritura","\\OMEN2025\Disco lógico(_Total)\Promedio de segundos de disco/lectura","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Total de bytes/s","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Total de bytes/s","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Total de bytes/s","\\OMEN2025\Memoria\Mbytes disponibles","\\OMEN2025\Memoria\Páginas/s","\\OMEN2025\Procesador(_Total)\% de tiempo de procesador","\\OMEN2025\Sistema\Longitud de la cola del procesador"
"12/14/2025 23:24:48.649"," "," "," "," "," ","0","0","0","0","0","0"," "," "," ","13578"," "," ","0"
"12/14/2025 23:24:53.650","0.18220420231084033524","16.239642591530184745","0","0.00033659753086419754754","0","0","0","0","0","0","0","0","0","9376.8899259983554657","13590","0","3.6724669303412560417","0"
"12/14/2025 23:24:58.665","0.072577912083538420607","0.99702034487811108665","0","0.0021838400000000002601","0","0","0","0","0","0","0","0","0","6190.6987254171672248","13586","0.19940406897562221178","2.0910785598570513777","0"
"12/14/2025 23:25:03.665","0.22536627695818595152","4.2005682528732481984","0","0.0016095380952380951723","0","0","0","0","0","0","0","0","0","5216.9057430089142144","13591","0","3.462735933040328451","0"
"12/14/2025 23:25:08.651","0.14547381268817707878","9.4256286613553719178","0","0.00046300638297872340589","0","0","0","0","0","0","0","0","0","9587.6692562144180556","13587","0.40109058133427116788","3.0943778857664194781","0"
"12/14/2025 23:25:13.651","0.074996462600839877699","1.4001372694578975153","0","0.0016068857142857142974","0","0","0","0","0","0","0","0","0","5406.1300169868654848","13598","0","2.6061980833917308686","0"
"12/14/2025 23:25:18.650","0.12257052355940926958","1.4002672269976002006","0","0.0026260285714285714308","0","0","0","0","0","0","0","0","0","7156.9658353600198097","13593","0","3.8885885670350783805","0"
"12/14/2025 23:25:23.661","0.1145371161558855766","5.1884477136276991871","0","0.00066227692307692311198","0","0","0","0","0","0","0","0","0","5754.7867371382917554","13590","0.1995556812933730606","6.4208153952315711877","0"
"12/14/2025 23:25:28.645","0.052735847370296393133","1.2037055111195404944","0","0.0013143166666666665846","0","0","0","0","0","0","0","0","0","5358.4957003338213326","13586","0","5.7262981234668774988","0"
"12/14/2025 23:25:33.659","0.17989657652191509696","5.5847642047729584291","0","0.00096636785714285711093","0","0","0","0","0","0","0","0","0","5799.179259063349491","13585","0","7.011827790025981777","0"
"12/14/2025 23:25:38.649","0.29109654072965629457","2.2045499706844955412","0.4008272673971809974","0.002025645454545454624","0.010645999999999999214","0","0","0","0","0","0","0","0","6967.1795618978003404","13583","9.6198544175323448258","5.5858220931506163964","0"
"12/14/2025 23:25:43.649","2.8016858428157140892","27.59868299084767429","0.19999045645541793648","0.0028966920289855068935","0.020534699999999999481","0","0","0","0","0","0","0","0","13349.962939768513024","13568","3.1998473032866869836","14.184838625985662475","0"
"12/14/2025 23:25:48.641","0.19263467168467451884","2.20357499192389783","0","0.0026224727272727271082","0","0","0","0","0","0","0","0","0","10178.312887696483813","13545","0.400649998531617757","12.785410649128635896","0"
"12/14/2025 23:25:53.643","0.14901026971854328118","2.3988666314712951966","0","0.0018635583333333333427","0","0","0","0","0","0","0","0","0","7665.7782264191464492","13512","0.1999055526226079238","7.8971344978504660617","0"
"12/14/2025 23:25:58.664","0.3187116048270083879","11.552155132218199896","0","0.00082766379310344822488","0","0","0","0","0","0","0","0","0","7572.03933899205731","13517","0","5.7025745022111777871","0"
"12/14/2025 23:26:03.659","0.22347686336333300039","4.0043523305480723806","0","0.0016742750000000000254","0","0","0","0","0","0","0","0","0","7651.9168684443120583","13491","0.20021761652740363568","5.1321254047612558935","0"
"12/14/2025 23:26:08.649","0.12543001671879275283","2.0036212649293827504","0","0.0018780100000000000526","0","0","0","0","0","0","0","0","0","12167.791579789647585","13510","0","3.0268404326857734077","0"
"12/14/2025 23:26:13.665","0.22658000997443308866","9.1713931407988074085","0","0.000741156521739130391","0","0","0","0","0","0","0","0","0","8271.0015881064737187","13506","0","3.8940503387874025876","0"
"12/14/2025 23:26:18.651","0.10018479857629046526","1.8049967725654929573","0","0.0016651444444444442675","0","0","0","0","0","0","0","0","0","5297.6655274797221864","13514","0","2.6215791084872597239","0"
"12/14/2025 23:26:23.641","0.10194859883554022173","2.0040812312642204418","0","0.001526130000000000108","0","0","0","0","0","0","0","0","0","7573.8237891937415043","13504","0","3.1631360952971143696","0"
"12/14/2025 23:26:28.653","0.066270621899893508711","6.1853973901334251551","0","0.00032141612903225806391","0","0","0","0","0","0","0","0","0","12829.71136082513658","13493","0","16.056188660067604701","0"
"12/14/2025 23:26:33.647","0.10609664984915863351","3.4039202950037554807","0","0.00093507058823529411","0","0","0","0","0","0","0","0","0","9786.8715399525626708","13479","0.20023060558845620638","13.337316204278470977","0"
"12/14/2025 23:26:38.643","0.15291103214015958067","2.601976200924602356","0","0.0017629538461538460381","0","0","0","0","0","0","0","0","0","10439.128518109504512","13462","0","16.926433610731560719","0"
"12/14/2025 23:26:43.650","0.30279820334872303844","27.964693455924159338","0","0.00032484642857142856246","0","0","0","0","0","0","0","0","0","20274.802251165816415","13461","0","7.0343521111163820336","0"
"12/14/2025 23:26:48.664","0.29484369820078953905","11.566432593313640709","15.554857625490759787","0.00041546724137931035021","0.00025972051282051284793","0","0","0","0","0","0","0","0","10602.629684288040153","13543","92.53146074650912567","8.5474719672045900154","0"
"12/14/2025 23:26:53.665","0.18310554880956397827","4.798879077825001005","0","0.001144674999999999946","0","0","0","0","0","0","0","0","0","6422.0999258993078911","13554","1.599626359275000409","3.147454294196438962","0"
"12/14/2025 23:26:58.656","0.060588200308217293744","4.4086192915769624179","0","0.00041229999999999999288","0","0","0","0","0","0","0","0","0","5937.2078350382835197","13563","0","2.818224016870030102","0"
"12/14/2025 23:27:03.651","0.20526683116652003069","24.421543220136211261","0.2001765837716082963","0.00025174426229508195616","4.9799999999999997535e-005","0","0","0","0","0","0","0","0","5364.7324450791020354","13558","0.80070633508643318521","3.6641936973262123622","0"
"12/14/2025 23:27:08.667","0.12355709669212038004","1.5947034158626902656","0","0.0023240750000000000991","0","0","0","0","0","0","0","0","0","9747.4252915337110608","13549","3.1894068317253805311","3.8230171783359745419","0"
"12/14/2025 23:27:13.650","0.20146433691277185196","2.6094423715993273483","0.80290534510748534647","0.0022739769230769230936","0.00013817500000000001114","0","0","0","0","0","0","0","0","9374.7228094749989395","13570","6.2225164245830111298","2.668498813824804472","0"
"12/14/2025 23:27:18.666","0.23909245455103431133","9.9670403928066431121","0","0.00071964600000000000096","0","0","0","0","0","0","0","0","0","5641.9428847521285206","13577","0","2.4705057476896330471","0"
"12/14/2025 23:27:23.665","0.91010135874791675548","21.203770454462212314","3.400604695526958654","0.00081957641509433957171","0.002918594117647058811","0","0","0","0","0","0","0","0","14398.360316431468164","13558","1.0001778516255761531","5.2568484741678300765","0"
"12/14/2025 23:27:28.652","0.89860253571876091971","36.901236327791117731","3.8104537512392999687","0.00060404293478260868804","0.0012250263157894737166","0","0","0","0","0","0","0","0","13662.281649969794671","13569","3.6099035538056529759","6.1478035755742732604","0"
"12/14/2025 23:27:33.650","0.25110626743533720484","6.202094447294851598","0","0.001214629032258064548","0","0","0","0","0","0","0","0","0","6547.811195840835353","13566","0.2000675628159629682","3.3277022218019092215","0"
"12/14/2025 23:27:38.650","0.14495591592556875127","1.399991712049064585","0","0.0031061857142857143659","0","0","0","0","0","0","0","0","0","6580.1610454466108422","13570","0","1.8359949351229420955","0"
"12/14/2025 23:27:43.651","0.61784950468742450003","22.595428041090166005","0","0.00082033716814159296418","0","0","0","0","0","0","0","0","0","4811.4264559708981324","13566","0","3.3416657592004739286","0"
"12/14/2025 23:27:48.650","0.20210122139877353953","4.4005244545044881477","0","0.0013777272727272726546","0","0","0","0","0","0","0","0","0","7300.4700700229459471","13572","0","3.6560389796874814827","0"
"12/14/2025 23:27:53.653","0.14779609986345043637","2.1986310004212779035","0","0.0020167545454545456225","0","0","0","0","0","0","0","0","0","7523.515407896119541","13568","0","2.486466964282862957","0"
"12/14/2025 23:27:58.647","0.12131053428003908679","1.2015971148211357367","0","0.0030287000000000000553","0","0","0","0","0","0","0","0","0","7505.7763777302243398","13564","0","2.5647683279010902169","0"
"12/14/2025 23:28:03.650","0.39134336523032781097","28.783107769712110269","0.59964807853566903795","0.0004036840277777777649","0.00020166666666666664448","0","0","0","0","0","0","0","0","5906.3336908834944552","13566","6.5961288638923587513","3.4153081267576324009","0"
